topic,ques,options,type,ans,img,pageUrl,ans_detail
indian geography mcqs,The concept of differential heating was primarily given to explain which of the following geographical phenomena in India?,"[""Monsoon"",""Jet streams"",""Cyclones"",""Desert storms""]",multiple choice,Monsoon,,https://www.gktoday.in/quizbase/indian-geography-mcqs,Notes: The concept of differential heating about the origin of Indian Monsoon was given by Halley.
indian geography mcqs,Polavaram Project is located in which state?,"[""Madhya Pradesh"",""Gujarat"",""Andhra Pradesh"",""Karnataka""]",multiple choice,Andhra Pradesh,,https://www.gktoday.in/quizbase/indian-geography-mcqs,
indian geography mcqs,The controversial Babli project is a barrage being built by Maharashtra Government across which among the following rivers?,"[""Bhima River"",""Krishna River"",""Godavari River"",""Painganga River""]",multiple choice,Godavari River,,https://www.gktoday.in/quizbase/indian-geography-mcqs,"Notes:The Babli reservoir project is being constructed by Maharashtra across the river Godavari. It was disputed by Telangana and in 2013, Supreme Court delivered a ruling after seven years in favour of Maharashtra."
indian geography mcqs,Which among the following state produces maximum raw silk in India?,"[""Bihar"",""Assam"",""West Bengal"",""Karnataka""]",multiple choice,Karnataka,,https://www.gktoday.in/quizbase/indian-geography-mcqs,Notes:Karnataka accounted for as much as 60% of the country’s raw silk output
indian geography mcqs,India’s Andaman and Nicobar Islands share a maritime border with which among the following?,"[""Thailand"",""Thailand and Indonesia"",""Thailand, Sri Lanka and Indonesia"",""Thailand and Sri Lanka""]",multiple choice,Thailand and Indonesia,,https://www.gktoday.in/quizbase/indian-geography-mcqs,
indian geography mcqs,Which among the following is the largest river system among the Deccan system of rivers?,"[""Godavari"",""Cauvery"",""Krishna"",""Periyar""]",multiple choice,Godavari,,https://www.gktoday.in/quizbase/indian-geography-mcqs,"Notes:With a length of 1465 Kilometers, Godavari is India’s second largest river that runs within the country and also the longest river in South India. It originates near Trimbak in Nashik District of Maharashtra state and flows east across the Deccan Plateau into the Bay of Bengal near Narasapuram in West Godavari district of Andhra Pradesh.
The river is also known as Dakshin Ganga and Gautami. The Manjra and Indravati rivers are its major tributaries."
indian geography mcqs,Which among the following was the first port in India to be a Public Company?,"[""Ennore Port"",""Tuticorin Port"",""New Mangalore Port"",""Mormugao Port""]",multiple choice,Ennore Port,,https://www.gktoday.in/quizbase/indian-geography-mcqs,
indian geography mcqs,Phawngpui in Mizoram is also known as which of the following?,"[""Black mountain"",""Blue Mountain"",""Yellow Mountain"",""Mizo Hills""]",multiple choice,Blue Mountain,,https://www.gktoday.in/quizbase/indian-geography-mcqs,"Notes:Phawngpui or Blue Mountain, is the highest mountain peak in the Mizo Hills (Lushai Hills) and in Mizoram."
indian geography mcqs,Raniganj coal bed methane  (CBM) acreage is located in which of the following states ?,"[""Jharkhand"",""West Bengal"",""Bihar"",""Orissa""]",multiple choice,West Bengal,,https://www.gktoday.in/quizbase/indian-geography-mcqs,Notes:Raniganj is located near Asansol of Paschim Bardhaman district in West Bengal. ONGC is operating Raniganj North CBM block.
indian geography mcqs,Which among the following rivers is known as Yarlung Tsangpo in Tibet?,"[""Indus"",""Yamuna"",""Ganges"",""Brahamputra""]",multiple choice,Brahamputra,,https://www.gktoday.in/quizbase/indian-geography-mcqs,
medieval indian history,The death of Mughal Emperor Aurangzeb occurred at which among the following places?,"[""Agra"",""Bijapur"",""Ahmednagar"",""Pune""]",multiple choice,Ahmednagar,,https://www.gktoday.in/quizbase/medieval-indian-history,"Notes: Aurangzeb had died in Ahmednagar on 20 February 1707 at the age of 88. Unlike other earlier Mughals, he was buried in a modest open-air grave in Khuldabad, which shows his deep devotion to his Islamic beliefs."
medieval indian history,Which among the following was the single biggest item of import to the Vijayanagar empire?,"[""Precious stones"",""Horses"",""Luxury goods"",""Raw Silk""]",multiple choice,Horses,,https://www.gktoday.in/quizbase/medieval-indian-history,"Notes:Kings of Vijayanagar, imported Arabian horses on a large scale, in order to improve the breed of cavalry horses in their own districts. Thus, the single biggest item of import to the Vijayanagar empire was Horses."
medieval indian history,Who was Sultan of Delhi Sultanate when Timur invaded India in 1398?,"[""Mahmud Shah Tughluq"",""Jalal ud din Firuz Khilji"",""Aram Shah"",""Ghiyas-ud-din Balban""]",multiple choice,Mahmud Shah Tughluq,,https://www.gktoday.in/quizbase/medieval-indian-history,"Notes:Mahmud Shah Tughlaq was the last sultan of the Tughlaq dynasty to rule the Islamic Delhi Sultanate. During his reign in 1398, Amir Timur the Chagtai ruler invaded India. He carried away with him a large booty from Delhi and the surrounding area. Soon after the invasion, the Tughlaq dynasty came to an end."
