topic,ques,options,type,ans,img,URL
actors,Which actor is the lead singer of a famous American band “30 Seconds to Mars”,[],answer in one word,Jared Leto,,https://www.quiz-questions.net/actors.php
actors,"Which actor played the role of a Russian boxer, Ivan Drago, in “Rocky 4”",[],answer in one word,Dolph Lundgren,,https://www.quiz-questions.net/actors.php
actors,Which actor played James Bond in 1990,[],answer in one word, Pierce Brosnan,,https://www.quiz-questions.net/actors.php
actors,Which actor used to be a professional soccer player,[],answer in one word,Vinnie Jones,,https://www.quiz-questions.net/actors.php
actors,Which actor played the role of the most famous contemporary vampire,[],answer in one word, Robert Pattinson,,https://www.quiz-questions.net/actors.php
actors,1Which actor played the famous hobbit - Frodo,[],answer in one word, Elijah Wood,,https://www.quiz-questions.net/actors.php
actors,2Who is the most famous Hemsworth brother,[],answer in one word,Chris Hemsworth,,https://www.quiz-questions.net/actors.php
actors,3Who played Wolverine,[],answer in one word, Hugh Jackman,,https://www.quiz-questions.net/actors.php
actors,5Which actor was awarded Oscars for the films “Glory” and “Training Day”,[],answer in one word,Denzel Washington,,https://www.quiz-questions.net/actors.php
actors,"6What is the real name of Oprah Winfrey, a famous American TV host",[],answer in one word, Orpah,,https://www.quiz-questions.net/actors.php
actors,"8Actor Jerry Springer, famous for his roles in “Sunset Beach” and “Four funerals and a wedding”, was the mayor of which town",[],answer in one word,"Cincinnati, Ohio",,https://www.quiz-questions.net/actors.php
actors,9Which coffee chain did Madonna work at,[],answer in one word, Dunkin Donuts,,https://www.quiz-questions.net/actors.php
actors,0Which actor traveled with the circus at the age of 15 and was a tamer,[],answer in one word,Chuck Norris,,https://www.quiz-questions.net/actors.php
art,What color are often the domes of churches in Russia,[],answer in one word,Gold colored,,https://www.quiz-questions.net/art.php
art,In which Spanish city did the Joan Miro museum open in 1975,[],answer in one word,Barcelona,,https://www.quiz-questions.net/art.php
art,Which Italian artist painted the Birth of Venus,[],answer in one word,Botticelli,,https://www.quiz-questions.net/art.php
art,Who was the original author of Dracula,[],answer in one word,Bram Stoker,,https://www.quiz-questions.net/art.php
art,In which city is the famous Manneken Pis fountain,[],answer in one word,Brussels,,https://www.quiz-questions.net/art.php
art,Who is the inventor of photography,[],answer in one word,Daguerre,,https://www.quiz-questions.net/art.php
art,Which artist painted The Scream,[],answer in one word,Edvard Munch,,https://www.quiz-questions.net/art.php
art,What is the first book of the Old Testament,[],answer in one word,Genesis,,https://www.quiz-questions.net/art.php
art,Who did the Mona Lisa paint,[],answer in one word,Leonardo Da Vinci,,https://www.quiz-questions.net/art.php
art,0In which English town did Adolf Hitler study art,[],answer in one word,Liverpool,,https://www.quiz-questions.net/art.php
art,1Which famous French engineer designed two bridges for the city of Porto,[],answer in one word,Gustave Eiffel,,https://www.quiz-questions.net/art.php
art,2In which city can you see Michelangelo�s David,[],answer in one word,Florence,,https://www.quiz-questions.net/art.php
art,3What is called the Jewish candlestick with special religious meaning,[],answer in one word,Menorah,,https://www.quiz-questions.net/art.php
art,4What is the Kabbalah,[],answer in one word,A System of Jewish Mystical Beliefs,,https://www.quiz-questions.net/art.php
art,5Who painted the ceiling of the Sistine Chapel,[],answer in one word,Michelangelo,,https://www.quiz-questions.net/art.php
art,6In which country was the famous painter El Greco born,[],answer in one word,Greece,,https://www.quiz-questions.net/art.php
art,7In which city is the composer Fr�d�ric Chopin buried,[],answer in one word,Paris,,https://www.quiz-questions.net/art.php
art,8Who did paint the famous painting Guernica,[],answer in one word,Picasso,,https://www.quiz-questions.net/art.php
art,9In which city did Romeo and Julia live,[],answer in one word,Verona,,https://www.quiz-questions.net/art.php
art,0Who painted the Mona Lisa,[],answer in one word,Leonardo Da Vinci,,https://www.quiz-questions.net/art.php
australia,What is the capital of Australia,[],answer in one word,Canberra,,https://www.quiz-questions.net/australia.php
australia,What is the largest city in Australia,[],answer in one word, Sydney,,https://www.quiz-questions.net/australia.php
australia,What is the highest mountain on the continent,[],answer in one word, Kosciuzko,,https://www.quiz-questions.net/australia.php
australia,What is Australia’s form of government,[],answer in one word, Monarchy,,https://www.quiz-questions.net/australia.php
australia,Australia used to be a dominion of which country,[],answer in one word, Great Britain,,https://www.quiz-questions.net/australia.php
australia,What is Australia’s rank by surface area in the world,[],answer in one word,Sixth,,https://www.quiz-questions.net/australia.php
australia,What is the largest river in Australia,[],answer in one word, River Murray,,https://www.quiz-questions.net/australia.php
australia,0What is the population of Australia,[],answer in one word, 23 million,,https://www.quiz-questions.net/australia.php
australia,1Is it true that Australia is a continent with the largest number of venomous things,[],answer in one word," Yes, it is true.",,https://www.quiz-questions.net/australia.php
australia,2What is a distinct feature of Lake Eyre which is located in Australia,[],answer in one word, It is the driest lake in the world,,https://www.quiz-questions.net/australia.php
australia,3What is a feature of Australian currency,[],answer in one word, The banknotes are made of plastic,,https://www.quiz-questions.net/australia.php
australia,5What is the most venomous animal living in Australia,[],answer in one word, Octopus,,https://www.quiz-questions.net/australia.php
australia,6What climate zone is the majority of Australia in,[],answer in one word,Tropical,,https://www.quiz-questions.net/australia.php
australia,9What is Australia’s lowest point,[],answer in one word, The bottom of Lake Eyre: - 16 meters,,https://www.quiz-questions.net/australia.php
australia,0What Australian animals are depicted on the country s coins,[],answer in one word,Lyre-bird and echidna,,https://www.quiz-questions.net/australia.php
australia,4Who is the formal head of state in Australia,[],answer in one word, The Queen,,https://www.quiz-questions.net/australia.php
australia,5What is the most famous building in Sydney,[],answer in one word, Opera,,https://www.quiz-questions.net/australia.php
biology,What flower is the symbol of the sun and the symbol of Japan,[],answer in one word, Chrysanthemum,,https://www.quiz-questions.net/biology.php
biology,What animal has three hearts,[],answer in one word, Octopus,,https://www.quiz-questions.net/biology.php
biology,What color is mollusk blood,[],answer in one word, Blue,,https://www.quiz-questions.net/biology.php
biology,What is the smallest bird,[],answer in one word, Colibri,,https://www.quiz-questions.net/biology.php
biology,What is the fastest land animal,[],answer in one word, Cheetah,,https://www.quiz-questions.net/biology.php
biology,What is the thinnest natural thread,[],answer in one word, Spider web,,https://www.quiz-questions.net/biology.php
